,study_name,sample_number,species,region,island,stage,individual_id,clutch_completion,date_egg,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,date_e
1,PAL0708,1,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,11/11/07,39.1,18.7,181,3750,MALE,NA,NA,Not enough blood for isotopes.,11/11/07
2,PAL0708,2,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,11/11/07,39.5,17.4,186,3800,FEMALE,8.94956,-24.69454,NA,11/11/07
3,PAL0708,3,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,11/16/07,40.3,18,195,3250,FEMALE,8.36821,-25.33302,NA,11/16/07
4,PAL0708,5,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,11/16/07,36.7,19.3,193,3450,FEMALE,8.76651,-25.32426,NA,11/16/07
5,PAL0708,6,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,11/16/07,39.3,20.6,190,3650,MALE,8.66496,-25.29805,NA,11/16/07
6,PAL0708,7,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,11/15/07,38.9,17.8,181,3625,FEMALE,9.18718,-25.21799,Nest never observed with full clutch.,11/15/07
7,PAL0708,8,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,11/15/07,39.2,19.6,195,4675,MALE,9.4606,-24.89958,Nest never observed with full clutch.,11/15/07
8,PAL0708,13,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,11/15/07,41.1,17.6,182,3200,FEMALE,NA,NA,Not enough blood for isotopes.,11/15/07
9,PAL0708,14,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,11/15/07,38.6,21.2,191,3800,MALE,NA,NA,Not enough blood for isotopes.,11/15/07
10,PAL0708,15,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,11/16/07,34.6,21.1,198,4400,MALE,8.55583,-25.22588,NA,11/16/07
11,PAL0708,16,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,11/16/07,36.6,17.8,185,3700,FEMALE,NA,NA,Not enough blood for isotopes.,11/16/07
12,PAL0708,17,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,11/12/07,38.7,19,195,3450,FEMALE,9.18528,-25.06691,NA,11/12/07
13,PAL0708,18,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,11/12/07,42.5,20.7,197,4500,MALE,8.67538,-25.13993,NA,11/12/07
14,PAL0708,19,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,11/16/07,34.4,18.4,184,3325,FEMALE,8.47827,-25.23319,NA,11/16/07
15,PAL0708,20,Adelie,Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,11/16/07,46,21.5,194,4200,MALE,9.11616,-24.77227,NA,11/16/07
16,PAL0708,21,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,11/12/07,37.8,18.3,174,3400,FEMALE,8.73762,-25.09383,NA,11/12/07
17,PAL0708,22,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,11/12/07,37.7,18.7,180,3600,MALE,8.66271,-25.0639,NA,11/12/07
18,PAL0708,23,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,11/12/07,35.9,19.2,189,3800,FEMALE,9.22286,-25.03474,NA,11/12/07
19,PAL0708,24,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,11/12/07,38.2,18.1,185,3950,MALE,8.43423,-25.22664,NA,11/12/07
20,PAL0708,25,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,11/10/07,38.8,17.2,180,3800,MALE,9.63954,-25.29856,NA,11/10/07
21,PAL0708,26,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,11/10/07,35.3,18.9,187,3800,FEMALE,9.21292,-24.3613,NA,11/10/07
22,PAL0708,27,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,11/12/07,40.6,18.6,183,3550,MALE,8.93997,-25.36288,NA,11/12/07
23,PAL0708,28,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,11/12/07,40.5,17.9,187,3200,FEMALE,8.08138,-25.49448,NA,11/12/07
24,PAL0708,29,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,11/10/07,37.9,18.6,172,3150,FEMALE,8.38404,-25.19837,Nest never observed with full clutch.,11/10/07
25,PAL0708,30,Adelie,Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,11/10/07,40.5,18.9,180,3950,MALE,8.90027,-25.11609,Nest never observed with full clutch.,11/10/07
26,PAL0708,31,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,11/9/07,39.5,16.7,178,3250,FEMALE,9.69756,-25.11223,NA,11/9/07
27,PAL0708,32,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,11/9/07,37.2,18.1,178,3900,MALE,9.72764,-25.0102,NA,11/9/07
28,PAL0708,33,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,11/9/07,39.5,17.8,188,3300,FEMALE,9.66523,-25.0602,NA,11/9/07
29,PAL0708,34,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,11/9/07,40.9,18.9,184,3900,MALE,8.79665,-25.14591,NA,11/9/07
30,PAL0708,35,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,11/16/07,36.4,17,195,3325,FEMALE,9.17847,-25.23061,NA,11/16/07
31,PAL0708,36,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,11/16/07,39.2,21.1,196,4150,MALE,9.15308,-25.03469,NA,11/16/07
32,PAL0708,37,Adelie,Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,11/16/07,38.8,20,190,3950,MALE,9.18985,-25.12255,NA,11/16/07
